"Bi209Di", "Ce140Di", "Cs133Di", "Dy161Di", "Dy162Di", "Dy163Di", "Dy164Di", "Er166Di", "Er167Di", "Er168Di", "Er170Di", "Eu151Di", "Eu153Di", "Gd155Di", "Gd156Di", "Gd157Di", "Gd158Di", "Gd160Di", "Ho165Di", "I127Di", "In115Di", "Ir191Di", "Ir193Di", "La138Di", "La139Di", "Lu175Di", "Lu176Di", "Nd142Di", "Nd143Di", "Nd144Di", "Nd145Di", "Nd146Di", "Nd148Di", "Nd150Di", "Pm147Di", "Pr141Di", "Pt195Di", "Pt198Di", "Sm149Di", "Sm152Di", "Sm154Di", "Tb159Di", "Tm169Di", "Xe131Di", "Yb171Di", "Yb172Di", "Yb173Di", "Yb174Di"
0,0,0,13.7466,1.33105,13.1593,0,0,0,0.977735,3.1333,0,0.119671,0,0,4.8966,0,0,1.66903,0,3.29885,2.2865,5.91151,19.8702,0,0.917684,3.48361,0.246824,0.473232,0.66902,0,0,0,0,0.837284,156.102,9.41478,2.70956,42.8581,0,3.28813,2.59324,0,2.57909,0,0,0,1.37637
0.176225,0,0,0,4.34745,22.0032,0.695537,3.69812,0,0,1.43765,0,0,0,0,0.923657,3.14721,0.29962,191.533,0,2.62825,5.74684,6.5602,48.948,0,0,42.1495,1.72826,0,0,0,1.72462,0,0,0,28.4438,0.55884,0.346507,9.82655,0.953308,0,0,0,0,0,0,0,0.370815
27.1138,0.119873,0,0,0,18.0883,0,0,0,0,0,0,0,0.019621,1.58221,0,0,0.641902,3.09961,0,4.66747,2.00652,1.2427,2.22155,0,0,9.37386,1.94436,0,0,0,0,0,0,1.93849,33.8948,8.75399,1.63394,12.9393,0.456919,0,0,0,0,0,0,0,4.503
8.40849,0,0,1.10289,1.27914,46.2437,0,0,0,0,37.7777,0,0,0,0,1.84112,0,0.105898,178.026,0,0,1.70142,1.48079,13.0064,0,1.96405,12.161,7.87039,0,12.8673,12.5628,0,7.0421,0,0,112.933,0.416487,0,4.077,0,0,0,5.88337,0,0,0.82227,0,0
48.9437,0,0,5.58521,0.366566,150.751,5.09807,0,0,2.58788,0.720319,0,0,0,1.68241,0,0,3.36483,0.965257,15.9073,0,3.91829,7.402,0,0,0,1.21531,0,0.031595,5.8936,0,0,0.711304,0,0,18.6622,9.54845,1.67904,2.89488,3.86697,3.3542,3.48295,2.85281,0,0,0,0.797761,0.14268
19.4443,0,0,2.36187,3.0717,67.7805,1.14633,2.1454,0,0,1.40639,0,0,0,0,10.5803,2.52722,0,664.727,0,0.667309,14.9843,33.2329,53.6655,0,0,270.019,0,0,14.6524,0,0,0.983985,0,0,171.666,3.46045,2.04677,0,0,0,0,5.79307,0,0,0,0,5.0049
5.81422,0,0,2.96362,1.4111,52.3721,2.43179,0,0,0,76.734,0,0,0,0,16.8555,0,0.70364,39.5263,0,10.0636,2.68794,3.42404,14.6691,0,10.197,0.917874,0,0,7.41882,11.0071,0.847299,0,0,0,168.97,7.8313,0,12.0694,11.4336,0,0,16.435,4.05756,0,0,0,0
0,0,0,0,0,5.75597,0,0,0,0,0,0,0,0,0.300467,0,0,0,29.3821,0,0.130131,1.29774,2.11642,14.6023,0,0,16.3059,0,0,0,0,0,0,0,0,10.4599,1.1864,0.512607,2.26505,0,0,0.412495,0,0,0,0,0,3.90489
15.4416,0,0,2.2917,0,19.8807,0.963917,2.20512,0,0,0,0,0,0,0.478687,0.522887,0.873556,2.36234,42.6868,0,6.86379,2.16091,5.16132,2.93885,0,1.62532,12.5995,0,0,1.95319,0,0,3.6233,0,0,14.9972,6.94994,6.26077,4.64452,0,0,9.11829,0,0.471623,0,0,0,46.6757
0.084644,0.040053,0,0.958558,0,8.95666,0,0,0,0,0,0,0,0,0,4.27271,0,0,36.2247,0.567691,0,2.99305,1.0635,5.89409,0,0,19.9359,0,0,1.78516,0,0.42345,0,0,0,32.181,2.99849,0,5.89235,0.02188,0.770695,0.971791,0,0,0,0,0,1.07937
15.9239,0,0,4.06475,0,12.8367,0.024819,0,0,1.89921,0,0,0,0,0.277804,0,0,0,143.807,0,2.18672,2.92903,0.306992,16.3956,0,0,3.12899,0,0,4.17208,0,0,0,0,0,41.7464,6.51845,0,10.8315,0,2.91071,0,0,0,0,0,0,19.6302
26.769,0,0.402739,0.85611,0,16.5357,0.118002,0,0,0,0,0,0,0,0,11.3575,0,0,0,0,8.05446,5.28454,2.95457,24.7183,0,0,8.37125,0,0,4.84738,0,0,5.13829,0,0,277.676,0.305327,1.78669,36.7206,0,0,18.5141,3.59257,0,0,0,0,0
7.40594,0,0,0,3.42308,10.7657,0,0,0,0,0,0,0,0,0,1.90128,0,0,41.0671,0,0,4.18658,2.50949,4.24081,0,0,13.5117,7.96219,0,2.48643,0,0,0,0,0,56.4679,4.07864,0,5.94354,0,0,0,2.04045,0,0.674801,0,0,3.95462
2.85747,0,0,2.01926,0,48.0196,1.42402,0,0,0,0,0,0,0,0,2.18004,0,0,248.687,0,0,3.61029,0.728173,0.976641,0,0,4.42543,0.130191,0,7.67565,0,0,0,1.48532,0,11.8968,5.41745,2.03958,25.446,0,0,0,0,0,0,0,0,0
3.71752,0.987499,0,2.19312,2.04772,93.6732,1.0971,0,0,0,0.680905,0,0,0,0.579145,1.73075,0,0.32656,0.935307,0,2.27838,1.58652,1.56479,11.731,0,0.049459,4.10934,44.9097,0,10.2287,0.227416,0,0,0,0,95.32,9.26249,1.73001,11.1733,0,0.47255,1.64002,31.4975,0.253949,0,1.38783,0,243.824
0,0,0,0,0.791208,108.254,7.1473,0,0,0.597928,0.162124,0,0,0,0.620251,1.2672,0,2.35674,243.323,0.619594,0,1.58384,0.581091,2.33665,0,0,7.00831,0,0,1.38197,0,0,0,3.74561,0,15.918,5.30603,0,40.1957,0,0,0,1.25282,0,0,0,0,0
2.89067,0,0,1.85756,0,18.7162,0,0,0,0,0,0,0,0,0,0,1.03183,0,60.4773,0.928004,0,5.36187,6.53452,0,0,0,37.1617,2.37997,0,0.994238,0,0,0,0,0,15.5041,1.69623,4.55391,0,0.087153,0,0.085728,0,0,0,0,0,2.08903
0.746476,1.80303,0,0,0,3.0655,0,0,0,0.708464,2.65737,0,0,0.832363,0,9.91866,0.631569,0.007673,3.39973,1.1025,7.53776,2.61466,5.34385,19.79,0,8.46473,0,0,0,3.85922,0.016277,18.9106,0.804766,1.08795,0,252.547,3.84685,1.14029,8.76295,27.5566,0,0,0,0,0,0,0,0
13.262,0,0,0,1.22894,12.6697,0,0,0,0,0,0.260637,0,0,0,2.23565,0,1.04817,11.0722,1.98135,7.06217,3.82816,3.40741,12.7887,0,0.889203,74.4388,0,0,4.60035,0.632147,0,2.7281,6.13551,0,46.0917,9.28294,2.03517,46.2957,0,0.741148,0.376237,0,0,0,0,0,2.633
5.42122,0,0,0.879633,0,11.4936,0,0.565093,0,0,0,0,0,0,0,0,0,0,19.0536,0.282561,0,1.30672,2.05587,7.29127,0,0.873261,12.4256,0,0,0,0,0,0,0,1.34628,15.7186,2.56746,5.33995,3.53841,0.771866,0,0,0,0,0,0,0,3.3532
0.791539,0.376606,0.68033,0.636924,0.015703,119.415,3.9527,0.688872,0,2.02537,0,0,0,0,1.91676,2.77561,0,0,0.421068,0,1.1511,2.28215,0.698318,1.60059,0,0.998252,0.165405,0.516193,0,1.23406,0,0,0,3.21698,0,79.0521,9.13321,0,0,0.143934,0,0,0,0,0,0,0,0
2.74036,0,0,0,0,1.22769,0,0,0,0,0,0,0,0,0,22.8786,0,0,0.623246,0,6.93149,1.51621,3.34193,11.2485,0,0,169.347,0,0,8.99203,0,0,0,0,0.847966,286.365,0.127994,0,0,0,0,0,0,0.788696,0,0,0,0
8.81204,0,0,0,0,88.046,0.761495,1.92674,0,0.709703,0,0,0,0,0,0,1.40491,1.06305,184.017,0,0,1.73017,1.92151,23.1077,0,0,101.158,0.629732,0,4.47535,0,1.16854,0,0.199978,0,20.9136,5.75009,0,13.5088,0,0,1.65667,0.540084,0.762607,0,0,0,4.12287
7.96785,0.339688,0,4.97098,1.20235,40.487,0.035676,0,0,0,0,0,0,0,1.34855,3.4502,0,0.219058,244.543,0,0.513389,2.38607,6.97804,31.218,0,0,60.2686,7.20046,0.778829,5.88717,0,0,0,0,0,52.6275,6.47985,1.53578,5.98996,0,0.54597,0,0.296658,0,0,0,0,0
0,0.133021,0,13.5689,3.417,385.032,5.12197,1.8,0,0.784691,51.2725,0,0,1.0444,0,1.79638,0,3.27262,34.7588,0,2.83217,2.61405,0.866122,2.45489,0,9.24513,11.2644,2.95609,0.480041,25.3681,17.7011,0.482338,0,0,0,158.243,0.775097,0.760939,10.1511,18.1099,0.16351,2.27768,3.77934,0,0,0,0,0
2.29547,0,0,6.37143,0,52.2599,0.088558,0,0,0,0,0,0,0,0,0,0,0,16.831,0.707334,0.831946,2.98037,1.79879,5.73624,0,0,10.8646,1.5437,0,7.41135,0,0,0.860924,0,0,13.0563,6.12694,7.35785,88.0911,0.646508,0,0,0.37628,0,0,0,0,0
17.7458,2.94591,0,0,0,23.7653,0.089663,2.52487,0,0,0,0,0,0,0,1.1418,0,0,259.229,0,3.3856,2.42906,1.49992,45.273,0,0,47.4001,0,0,3.47142,0,0,0,0,0,48.7612,7.8402,3.06877,0,0.21211,0,0,0,0.537397,0,0,0,0
