"190BCKG","209Bi_CD11b","140Ce","133Cs","161Dy_CD274","163Dy_CXCR3","162Er_CD80","164Er_CX3CR1","166Er_CD34","167Er","168Er_CD206","170Er_CD3","151Eu","153Eu","Event_length","152Gd_CD45RO","154Gd_CD163","155Gd","156Gd","157Gd","158Gd_CD33","160Gd_CD14","165Ho_CD127","113In","115In_CD45_A","191Ir_DNA1","193Ir_DNA2","139La","175Lu","176Lu_CD56","142Nd_CD19","143Nd_CD64","144Nd","145Nd_CD4","146Nd_CD8A","148Nd_CD16","150Nd_CD275","208Pb","102Pd","104Pd","105Pd","106Pd","108Pd","110Pd","141Pr_CD45_B","194Pt_Cisplatin","195Pt_Cisplatin","103Rh","SampleID","147Sm_CD20","149Sm_CD66","120Sn","159Tb_CD11c","169Tm_CD25","131Xe","89Y","171Yb","172Yb","173Yb","174Yb_HLADR","Time"
0.000000,18.511843,0.000000,0.000000,2.455965,0.639722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,1.878759,0.000000,0.000000,0.000000,0.000000,0.606121,6.169198,1.138968,0.000000,18.594362,19.584517,28.022522,0.115366,0.000000,0.000000,0.850345,3.510452,0.000000,0.000000,0.000000,0.000000,0.000000,2.503223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087120,217.771835,241.908554,0.000000,64779.734375,0.000000,11.587630,6.899084,53.608334,0.000000,0.000000,0.000000,0.000000,0.000000,1.595466,48.546959,1.599305
0.000000,28.871881,0.676936,0.000000,0.000000,0.685126,0.587936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,0.761760,0.000000,0.000000,0.000000,0.000000,0.344716,0.000000,0.000000,0.000000,20.323929,5.979405,25.940681,1.076272,0.000000,0.000000,0.000000,0.000000,0.551844,0.000000,0.234258,0.000000,0.796611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307.294708,261.581665,0.000000,52858.859375,0.000000,7.372586,0.000000,1.800574,3.182351,0.000000,0.000000,0.000000,0.000000,0.000000,0.161945,1.654260
0.000000,116.084641,0.000000,0.000000,0.000000,5.157736,0.000000,0.000000,6.321384,0.000000,0.000000,0.079158,0.000000,0.000000,11.000000,0.000000,0.491000,0.000000,0.000000,0.000000,7.453166,0.000000,145.405396,0.000000,12.813912,7.320595,0.368102,0.388845,0.000000,0.677290,48.728191,10.747040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.646225,74.840080,0.000000,65514.679688,0.000000,7.922141,5.126210,74.292931,27.713493,0.000000,0.000000,0.000000,0.000000,0.000000,68.823578,8.142985
0.000000,0.000000,0.000000,0.000000,0.000000,0.201259,0.000000,0.000000,0.679091,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,0.000000,0.572871,0.000000,0.000000,0.000000,0.531410,0.000000,0.000000,0.000000,8.063368,16.450869,56.621677,0.873720,0.000000,0.000000,0.000000,12.335349,0.000000,2.789358,2.978256,0.000000,1.668746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,206.057755,268.124420,0.000000,54351.687500,0.281934,0.000000,0.000000,8.769666,0.000000,0.504063,0.000000,0.000000,0.000000,0.000000,41.895374,8.485579
0.000000,22.279972,1.147298,0.000000,0.000000,0.609945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.927170,35.052933,67.967224,0.717909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.544396,6.649571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,91.657776,107.915955,0.000000,58776.132812,0.000000,129.911911,0.083274,2.184158,0.000000,0.876311,0.000000,0.000000,0.000000,0.000000,0.000000,8.502525
0.000000,59.464771,0.000000,0.000000,2.860030,2.527321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.904838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.269536,0.000000,6.651803,36.042480,71.200371,71.990746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,81.090149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,201.195496,279.600037,0.000000,41898.101562,0.000000,544.295349,141.377380,79.536278,0.000000,0.000000,0.083737,0.000000,0.000000,0.000000,35.553955,8.911702
0.000000,1.604829,0.856106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,0.755582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.638312,92.541840,157.022949,24.767399,0.000000,0.271720,0.000000,0.000000,0.000000,0.000000,0.000000,0.027958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,324.383514,357.481995,0.000000,47323.070312,0.000000,31.166731,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.395376,9.906388
0.000000,0.622944,0.602129,0.000000,0.000000,3.646142,0.000000,0.000000,0.000000,0.000000,0.000000,1.694890,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.735716,25.857595,74.465927,1.213486,0.000000,0.000000,0.360533,0.000000,0.000000,5.671158,0.313504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134751,92.173019,72.422943,0.000000,61501.765625,0.000000,9.041416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.710822,11.650526
0.000000,26.157356,1.911880,0.000000,33.085567,0.226942,1.369793,0.000000,0.000000,0.000000,0.242163,0.000000,1.699107,0.000000,11.000000,6.630359,48.906593,0.000000,0.000000,0.000000,0.766095,2.614362,0.823568,0.000000,18.349663,13.884199,36.571575,1.708790,0.000000,0.000000,1.595794,10.924165,0.686698,0.000000,0.000000,0.000000,0.000000,1.255218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.187945,1.208607,0.000000,47775.914062,0.000000,19.837408,32.046612,446.564484,50.100395,0.000000,0.000000,0.000000,0.000000,0.000000,190.100540,12.790550
0.000000,19.116419,2.154367,2.442141,0.000000,0.521517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.000000,0.000000,0.000000,0.638430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.381473,7.379425,14.805166,21.790705,0.000000,0.000000,0.965056,0.000000,0.000000,0.000000,0.000000,4.742514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,207.533997,231.431274,0.000000,56632.937500,0.000000,3.523269,9.606223,0.000000,0.000000,0.502734,0.000000,0.000000,0.000000,0.000000,1.245870,15.219338
