1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,23,1,1,23,23,23,1,1,46,46,46,46,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,23,23,1,1,23,23,23,46,172,174,174,46,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,68,68,1,1,1,1,1,172,172,174,174,46,46,1,1,1,1,1
1,1,1,1,1,1,1,1,23,23,23,1,23,198,1,23,1,1,1,1,222,222,46,46,1,1,1,1,1
1,1,1,1,1,1,1,1,23,54,54,199,23,198,23,23,23,1,48,48,222,222,46,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,199,199,23,23,23,23,23,23,48,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,23,23,23,23,23,23,23,146,111,111,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,23,23,23,23,23,23,1,146,228,23,23,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,23,23,1,1,23,23,1,228,228,23,126,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,23,23,1,1,23,1,1,1,1,1,1,126,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,126,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,126,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
