"CCR5","CD11b","CD11c","CD127","CD14","CD16","CD163","CD19","CD206","CD25","CD3","CD33","CD34","CD4","CD45RO","CD45_NORM","CD45_TUM","CD56","CD64","CD66","CD8","CD80","CD86","CX3CR1","CXCR3_CD183","Ce140Di","Cisplatin1","Cisplatin2","Cs133Di","DNA1","DNA2","Er167Di","Eu151Di","Eu153Di","Event_length","Gd155Di","Gd157Di","HLA-DR","I127Di","La138Di","La139Di","Nd150Di","PD1","PDL1_CD274","Pm147Di","SampleID","Yb171Di","Yb172Di","Yb173Di","cellType","e131Di","Time"
3.484124,2.009423,4.369120,1.067652,1.409501,0.000000,1.438426,0.000000,1.774867,6.376797,0.589857,1.848324,0.398376,0.275656,2.058243,0.000000,3.888361,1.993449,1.089136,0.000000,0.554924,2.188732,4.207579,0.598654,5.039944,0.000000,1.310975,0.230153,0.000000,0.285793,0.486831,0.000000,0.022168,0.000000,2.350926,0.064244,0.833684,5.613383,0.000000,1.607952,0.106024,0.000000,0.257484,3.846176,0.000000,10.369894,0.000000,0.195258,0.675528,61.000000,0.000000,4.753331
1.598128,0.987491,4.319435,0.046502,3.518259,0.072444,2.546250,0.124922,1.910193,5.191175,0.732307,1.123389,0.022008,0.118068,2.222792,0.000000,3.940071,1.075105,1.918456,1.802604,0.000000,1.197217,3.806017,0.224497,3.039891,0.000000,0.054344,0.022777,0.000000,0.247530,0.201321,0.560578,0.000000,0.000000,2.350926,0.233510,0.175872,5.971409,0.074517,1.915167,0.000000,0.000000,0.547271,1.793287,0.000000,10.107407,0.547630,0.003816,0.804968,83.000000,0.000000,4.868804
3.257378,1.906523,5.315309,2.195698,3.151403,0.585430,1.198827,0.281271,2.146525,5.380817,0.291027,2.433156,1.929978,0.121435,3.062339,0.233736,4.908632,2.902968,2.262665,1.030142,0.000000,2.107316,4.282333,1.532379,5.570848,0.000000,1.242212,0.000000,0.000000,0.852269,1.171616,0.000000,0.000000,0.000000,2.555494,0.454853,1.314417,5.904869,0.000000,2.333441,0.000000,0.114242,1.058076,3.813639,0.000000,10.278299,0.000000,0.000000,1.179575,61.000000,0.000000,4.906480
2.745047,0.985271,3.572963,0.247964,0.695797,0.381782,0.121852,0.211912,0.000000,4.167791,0.549935,2.019680,0.000000,0.092812,2.142777,1.146181,4.245696,1.970376,0.700241,2.617143,0.208146,1.254330,3.244625,0.714241,4.142908,0.000000,1.323481,0.737253,0.000000,1.197259,0.177408,0.000000,0.000000,0.000000,2.230814,0.441071,0.610699,4.155356,0.163645,2.220953,0.000000,0.087940,0.052965,1.590102,0.000000,10.169723,0.000000,0.000000,0.000000,74.000000,0.000000,4.952127
2.836559,0.000000,4.025822,0.000000,0.845186,0.340043,0.342606,0.133180,0.947993,4.308334,0.931235,1.805323,0.000000,0.023017,2.348218,0.000000,3.597649,2.183758,0.277758,1.744082,0.000000,1.949858,3.263824,1.577193,3.487383,0.000000,1.310983,0.051516,0.000000,0.840745,0.622088,0.000000,0.000000,0.000000,2.230814,0.000000,0.179267,5.833656,0.000000,1.645620,0.000000,0.000000,0.407956,2.182625,0.000000,10.068076,0.180210,0.197239,0.881259,74.000000,0.000000,4.954380
0.000000,1.979411,4.065062,0.336008,3.136867,0.860320,2.295616,0.000000,3.873374,4.481832,0.424659,2.268920,0.000000,0.243140,2.239743,0.000000,3.297611,0.882728,0.979302,0.000000,0.000000,2.347723,3.567253,1.107954,2.224192,0.000000,0.467445,0.131692,0.000000,0.613433,0.555633,0.361029,0.000000,0.000000,2.644121,0.093951,0.016911,6.463422,0.000000,1.733513,0.000000,0.000000,0.324316,3.933767,0.000000,9.982809,0.131130,0.767928,1.506836,86.000000,0.000000,4.956639
2.187073,3.817284,3.893767,0.571929,2.634931,0.000000,0.001333,0.159052,0.000000,3.102456,0.264625,1.747194,1.492008,0.730698,0.292553,0.000000,4.302200,1.384101,0.974126,0.321131,0.000000,0.559548,2.183611,0.314443,3.568954,0.000000,0.771615,0.000000,0.000000,0.275585,0.372979,0.176544,0.000000,0.000000,2.230814,0.000000,0.000000,4.126139,0.000000,2.080949,0.000000,0.000000,0.029063,3.197758,0.000000,10.196711,0.000000,0.000353,0.192581,26.000000,0.000000,5.030568
1.247109,2.983541,4.723982,1.120246,2.831074,0.000000,0.000000,0.000000,0.485606,5.115432,0.355417,2.012899,0.000000,0.000000,1.345997,0.853174,4.014128,2.238127,1.545646,1.083968,0.000000,1.053961,4.563943,0.693824,3.693922,0.169287,0.000000,0.031277,0.000000,0.688359,0.657356,0.000000,0.000000,0.257763,2.230814,0.419440,1.215932,5.572422,0.387368,2.540460,0.000000,0.185053,0.715482,4.491520,0.101103,9.976529,0.000000,0.501243,0.260685,26.000000,0.000000,5.318017
3.380246,0.509511,4.012540,1.967901,0.559375,0.000000,0.000000,1.102114,0.842517,4.300838,0.059044,1.109222,1.407955,0.181387,1.958763,0.142592,3.522107,3.297478,1.531895,1.804519,0.134920,2.073398,5.264109,1.530539,4.967808,0.000000,0.276655,0.655996,0.000000,0.369425,0.487948,0.000000,0.000000,0.000000,2.187422,1.075221,1.775792,5.577528,0.579379,2.586125,0.285524,0.326357,1.072618,4.034998,0.000000,10.335398,0.000000,0.801376,0.722334,89.000000,0.000000,5.451770
2.193691,0.715131,4.604250,0.228158,0.586216,0.000000,0.186470,0.000000,0.126452,5.567584,0.068091,2.355180,2.090594,0.015385,1.886159,0.000000,3.673254,1.862051,0.984547,0.546588,0.177589,2.404239,3.700456,1.383932,4.433976,0.000000,1.347423,0.000000,0.000000,0.333563,0.175315,0.062535,0.000000,0.000000,2.272441,0.066667,0.060341,4.776261,0.210545,1.380739,0.000000,0.000000,0.420580,3.714447,0.000000,9.879562,0.196775,0.000000,0.928794,73.000000,0.000000,5.626322
