"R_670_14-A", "R_780_60-A", "V_450_50-A", "YG_586_15-A", "YG_780_60-A", "B_710_50-A"
142.35,1071.64,5888.42,11834.7,3362.92,12033.8
178.12,1686.3,4594.98,14567.1,4285.6,17802.2
194.91,2114.08,2316.84,4210.8,4983.88,12920
86.87,653.35,1346.76,4054.6,1174.36,5713.68
93.44,1879.02,632.1,4808.32,4877.4,7181.24
85.41,1743.24,301,2964.72,5507.04,4281.08
688.39,6578.03,1425.88,27320.9,2001.56,41983.9
110.23,1257.06,280.36,1973.84,3696.44,3630.52
376.68,1848.36,706.06,2551.12,4375.8,11439.5
389.82,2722.9,3346.26,17645.8,4410.56,26763.4
286.16,2364.47,965.78,7461.52,1803.12,15231.9
191.99,1535.92,4640.56,13137.1,2920.28,21191.1
204.4,1247.57,10863.5,18515.6,3243.24,18503.7
12.41,1642.5,164.26,2183.28,5267.68,3382
27.74,1798.72,188.34,2306.92,5379,3889.68
60.59,1103.76,187.48,2578.4,2643.52,3428.36
362.81,11731.1,516,5963.76,1736.24,12982.3
133.59,1820.62,400.76,2200.88,4445.76,6434.92
494.94,29066.4,1118,11470.4,2585.44,10789.7
598.6,17442.6,854.84,21333.4,3290.32,18859.4
69.35,473.04,473,6196.08,1371.92,5028.92
139.43,2741.88,5372.42,5401.88,3214.2,7163
205.86,1957.13,4981.98,19913.5,6152.08,19725.8
59.86,2194.38,246.82,5082,6523.88,6659.88
291.27,7026.25,454.08,3316.28,917.84,8400.28
164.25,1741.78,128.14,2119.04,3638.8,3482.32
195.64,6978.8,195.22,2233,4907.32,6266.2
473.04,22267.2,348.3,5008.52,2209.24,10900.7
365.73,2253.51,8323.94,2460.48,4309.8,7323.36
51.83,1433.72,173.72,2088.24,4202.44,4484
278.13,10438.3,469.56,15916.6,2866.6,14850.4
168.63,1285.53,2964.42,11350.2,3795.44,11222.9
156.95,2338.19,274.34,4420.68,2873.64,8336.44
49.64,1479.71,148.78,1933.36,4110.04,3722.48
74.46,1492.85,492.78,2257.64,4355.12,3619.88
510.27,11798.3,545.24,2216.28,1295.8,14199.8
46.72,1826.46,221.88,1979.56,5111.04,4765.2
147.46,772.34,567.6,2436.72,1685.2,6595.28
356.24,11522.3,407.64,2826.12,7042.2,11805.1
