"R_670_14-A", "R_780_60-A", "V_450_50-A", "YG_586_15-A", "YG_780_60-A", "B_710_50-A"
398.58,1493.58,1075,3634.4,612.04,14073.7
920.53,17416.3,538.36,2492.16,4209.04,26084.7
604.44,3171.85,649.3,2390.52,1836.56,8037
386.17,2421.41,693.16,2058.32,1074.04,6510.16
346.02,2549.89,478.16,2234.32,5258.88,6453.16
1408.17,2928.76,3793.46,9432.28,3997.4,28629.2
753.36,4290.94,472.14,2326.28,1066.56,16682
827.82,6741.55,512.56,2307.36,1339.36,30502.6
665.76,23492.9,1665.82,3103.76,2370.72,13459.6
160.6,989.88,504.82,1705.44,926.64,4117.68
1719.88,12710.8,668.22,2057.44,2841.52,28878.5
134.32,1959.32,625.22,2507.56,3677.52,4373.8
1043.9,23196.5,6870.54,18513.9,4313.32,34742.6
1168.73,3565.32,2225.68,6517.28,1239.92,51460.4
1317.65,9446.93,2082.92,4612.96,8877.88,24092
483.26,1846.9,736.16,2098.8,1104.84,6666.72
317.55,1395.76,466.12,1255.32,1124.2,3885.88
935.13,2891.53,1986.6,12120.2,1008.04,27499.1
1103.03,12588.9,2370.16,3269.64,1859,32825.9
1384.81,9957.2,2495.72,3678.84,1672.88,29312.4
329.23,1319.11,497.94,1872.2,1006.72,4413.32
332.88,5634.14,811.84,2386.56,1562.88,7178.96
1570.96,18727.4,676.82,1957.56,3922.16,37211.9
1011.78,3520.79,983.84,3731.2,914.76,26046.7
210.24,793.51,399.04,2103.2,907.72,4331.24
965.06,21376.6,915.9,3557.84,2685.32,26594.7
1160.7,19874.2,1927.26,3794.56,2940.52,36202.6
540.93,4842.09,508.26,2687.96,840.4,20398.4
740.22,5129.71,2107,1428.24,742.28,24597.4
187.61,1730.1,546.96,1560.68,1412.4,5365.6
223.38,1232.97,417.96,1858.56,1197.24,5339.76
105.85,2027.94,578.78,1828.64,5705.48,4379.88
217.54,972.36,307.88,1423.4,905.52,3536.28
673.79,5518.8,1451.68,1278.2,751.08,25675.1
470.12,3401.07,508.26,2111.56,1419.44,7452.56
701.53,3123.67,1662.38,8049.36,1352.12,23427
59.13,605.9,253.7,2426.6,1322.64,2053.52
221.19,2419.95,547.82,1572.56,685.52,7702.6
418.29,4051.5,468.7,1862.96,1539.12,7886.52
262.07,1462.92,526.32,1984.4,1547.92,5758.52
1576.8,5735.61,1167.88,10511.2,1189.76,50798.4
658.46,2483.46,1329.56,7654.24,571.12,15732
5375.72,21257.6,1872.22,5507.04,3428.48,60426.8
97.09,851.18,222.74,2832.72,593.12,4162.52
1329.33,20737.8,1729.46,4130.28,5529.48,40429.7
594.22,2350.6,921.92,2676.52,675.4,18389.7
75.19,614.66,325.08,2482.92,2046.88,2809.72
1474.6,23402.3,2675.46,6981.92,3218.16,44122.6
698.61,4349.34,1059.52,2890.36,1005.84,21406.9
82.49,494.21,436.88,2732.4,1481.92,2612.88
892.06,3375.52,1367.4,11501.6,1036.64,21103.7
617.58,2031.59,873.76,5695.8,713.24,14809.4
135.78,432.89,372.38,1716.44,1117.6,3540.84
726.35,10531.7,1323.54,2720.96,1367.52,23392.8
647.51,13594.1,586.52,1816.76,1650.44,21224.5
40.88,221.92,183.18,1443.64,487.96,2015.52
205.13,710.29,546.1,2174.92,1868.24,7380.36
689.85,4727.48,758.52,2819.96,5574.36,17326.5
3048.48,11386.5,2064,7805.6,3124.44,45789.2
298.57,2711.95,538.36,1724.8,1222.32,8684.52
865.78,3349.97,1085.32,6334.68,874.72,19683.2
662.11,12053,767.98,2900.92,1315.16,9904.32
738.76,6821.85,1247.86,1823.8,1126.4,31228.4
